,retiro,entrega,tamano,opcion_de_entrega,cantidad_de_paquetes,cantidad_de_asistentes,lat_retiro,lng_retiro,lat_entrega,lng_entrega,km,precio
135,"Rambla República de México, Montevideo Uruguay","Carlos Tellier, Montevideo, Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8535167,-56.2452851,17.57224904730428,1637
136,"Rambla República de México, Montevideo Uruguay","Cooper, Montevideo, Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8700236,-56.0694155,2.8226546974077236,1473
137,"Rambla República de México, Montevideo Uruguay","Oyarvide, Montevideo, Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8542084,-56.1264252,7.552179025996583,1528
138,"Rambla República de México, Montevideo Uruguay","Avenida Sarmiento, Montevideo, Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.9153352,-56.1673733,10.135031483577231,423
139,"Rambla República de México, Montevideo Uruguay","Líber Arce, Montevideo, Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8988864,-56.1440372,7.744075331184074,1088
140,"Rambla República de México, Montevideo Uruguay","Hocquart, Montevideo, Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8902774,-56.1800759,11.028887532043742,1198
141,"Rambla República de México, Montevideo Uruguay","Ignacio Barrios, Montevideo, Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8562398,-56.1393665,8.424152204343105,1363
142,"Rambla República de México, Montevideo Uruguay","Escalada, Montevideo, Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8525727,-56.2005685,13.695740549982093,1473
143,"Rambla República de México, Montevideo Uruguay","Fernando Torres, Montevideo, Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8485567,-56.233298,16.674252115139822,1582
144,"Rambla República de México, Montevideo Uruguay","Carlos Reyles, Montevideo, Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8819445,-56.1812809,11.213026713102247,1253
145,"Rambla República de México, Montevideo Uruguay","Rizal, Montevideo, Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.9009529,-56.1352843,6.96722336260244,478
146,"Rambla República de México, Montevideo Uruguay","Chamizo, Montevideo, Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8889171,-56.1212496,5.672970274834405,1198
147,"Ricaldoni, Montevideo Uruguay","Doctor Alberto Zubiría, Montevideo Uruguay",small,express,2,1,-34.8938637,-56.1591115,-34.8434359,-56.1924935,6.372843976029703,1308
148,"Ricaldoni, Montevideo Uruguay","Adolfo berro, Montevideo Uruguay",small,express,2,1,-34.8938637,-56.1591115,-34.8642481,-56.2077112,5.525907039507175,643
149,"Ricaldoni, Montevideo Uruguay","Los Nogales, Montevideo Uruguay",small,express,2,1,-34.8938637,-56.1591115,-34.8029901,-56.1143293,10.881496562368323,1692
150,"Ricaldoni, Montevideo Uruguay","Paysandú, Montevideo, Uruguay",small,express,2,1,-34.8938637,-56.1591115,-34.901975,-56.1895067,2.9202630523791115,478
